model,config,size,prompt_set,policy,backend,trial_index,runtime_s,error,throughput_tok_s,compute_used_gb,compute_total_gb,dest_used_gb,dest_total_gb,gpu_mem_util,offload_kv_capacity_gb,max_seq,avg_input_length,max_tokens,num_gpu_blocks,dest_gpu_id,gpu_mem_util,preempt_after_tokens,blocks_offloaded,blocks_reloaded,blocks_allocated,blocks_evicted,blocks_freed
facebook/opt-125m,opt-125m_xsmall_shared_arc,xsmall,shared_prefix,arc,gpu,1,211.57962410099935,,28759.858260714525,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,10,52432,684,0,0,0
facebook/opt-125m,opt-125m_xsmall_shared_arc,xsmall,shared_prefix,arc,cpu,1,194.3742063799982,,31305.59405656906,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,10,53847,360,0,0,0
facebook/opt-125m,opt-125m_xsmall_shared_lru,xsmall,shared_prefix,lru,gpu,1,196.85140023200074,,30911.641943255046,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,10,56087,500,0,0,0
facebook/opt-125m,opt-125m_xsmall_shared_lru,xsmall,shared_prefix,lru,cpu,1,186.729917329998,,32587.172355709336,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,85,6000,151670,1,0.032,10,52541,972,0,0,0
facebook/opt-125m,opt-125m_small_shared_arc,small,shared_prefix,arc,gpu,1,196.37485224100237,,30986.656033391395,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,10,55898,332,0,0,0
facebook/opt-125m,opt-125m_small_shared_arc,small,shared_prefix,arc,cpu,1,194.01481499500005,,31363.58427142183,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,10,54518,837,0,0,0
facebook/opt-125m,opt-125m_small_shared_lru,small,shared_prefix,lru,gpu,1,195.2335618090001,,31167.79688705903,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,10,54825,852,0,0,0
facebook/opt-125m,opt-125m_small_shared_lru,small,shared_prefix,lru,cpu,1,201.72025680000297,,30165.537643713284,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,85,6000,151670,1,0.032,10,54637,785,0,0,0
facebook/opt-125m,opt-125m_medium_shared_arc,medium,shared_prefix,arc,gpu,1,189.80212229300014,,32059.704741375346,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,85,6000,151670,1,0.032,10,54114,948,0,0,0
facebook/opt-125m,opt-125m_medium_shared_arc,medium,shared_prefix,arc,cpu,1,195.0892321020001,,31190.855253448994,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,85,6000,151670,1,0.032,10,53158,825,0,0,0
facebook/opt-125m,opt-125m_medium_shared_lru,medium,shared_prefix,lru,gpu,1,205.99135055199804,,29540.0752686651,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,85,6000,151670,1,0.032,10,57532,974,0,0,0
facebook/opt-125m,opt-125m_medium_shared_lru,medium,shared_prefix,lru,cpu,1,209.25032873300006,,29080.002104868177,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,85,6000,151670,1,0.032,10,56606,306,0,0,0
facebook/opt-125m,opt-125m_large_shared_arc,large,shared_prefix,arc,gpu,1,200.15611032800007,,30401.27023865712,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,85,6000,151670,1,0.032,10,54090,423,0,0,0
facebook/opt-125m,opt-125m_large_shared_arc,large,shared_prefix,arc,cpu,1,208.59387344599963,,29171.518316789265,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,85,6000,151670,1,0.032,10,55785,1071,0,0,0
facebook/opt-125m,opt-125m_large_shared_lru,large,shared_prefix,lru,gpu,1,190.49306065799829,,31943.420820586765,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,85,6000,151670,1,0.032,10,54410,378,0,0,0
facebook/opt-125m,opt-125m_large_shared_lru,large,shared_prefix,lru,cpu,1,210.13536265699804,,28957.524916605722,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,85,6000,151670,1,0.032,10,55120,513,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_arc,xlarge,shared_prefix,arc,gpu,1,194.91538112600028,,31218.675328995396,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,85,6000,151670,1,0.032,10,52368,827,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_arc,xlarge,shared_prefix,arc,cpu,1,187.2970825429984,,32488.49323962666,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,85,6000,151670,1,0.032,10,52295,517,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_lru,xlarge,shared_prefix,lru,gpu,1,213.8470824549986,,28454.912408171436,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,85,6000,151670,1,0.032,10,55756,531,0,0,0
facebook/opt-125m,opt-125m_xlarge_shared_lru,xlarge,shared_prefix,lru,cpu,1,203.92536063200168,,29839.34897131716,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,85,6000,151670,1,0.032,10,55201,736,0,0,0
facebook/opt-125m,opt-125m_xsmall_uniq_arc,xsmall,unique,arc,gpu,1,243.3789473939978,,25191.168199420037,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,131,6000,151670,1,0.032,10,69700,354,0,0,0
facebook/opt-125m,opt-125m_xsmall_uniq_arc,xsmall,unique,arc,cpu,1,252.96219707899945,,24236.823014647143,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,131,6000,151670,1,0.032,10,70960,0,0,0,0
facebook/opt-125m,opt-125m_xsmall_uniq_lru,xsmall,unique,lru,gpu,1,242.11182814900167,,25323.0089866854,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,131,6000,151670,1,0.032,10,69961,424,0,0,0
facebook/opt-125m,opt-125m_xsmall_uniq_lru,xsmall,unique,lru,cpu,1,252.63039262000166,,24268.65562934088,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,50,131,6000,151670,1,0.032,10,69772,201,0,0,0
facebook/opt-125m,opt-125m_small_uniq_arc,small,unique,arc,gpu,1,254.33569421799984,,24105.936128433903,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,131,6000,151670,1,0.032,10,68944,354,0,0,0
facebook/opt-125m,opt-125m_small_uniq_arc,small,unique,arc,cpu,1,243.33947060799983,,25195.25494438403,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,131,6000,151670,1,0.032,10,69375,106,0,0,0
facebook/opt-125m,opt-125m_small_uniq_lru,small,unique,lru,gpu,1,257.93209501300225,,23769.82205216043,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,131,6000,151670,1,0.032,10,70202,354,0,0,0
facebook/opt-125m,opt-125m_small_uniq_lru,small,unique,lru,cpu,1,254.955097768001,,24047.371688872707,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,100,131,6000,151670,1,0.032,10,71560,0,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_arc,medium,unique,arc,gpu,1,248.577325956001,,24664.357364135485,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,131,6000,151670,1,0.032,10,68195,318,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_arc,medium,unique,arc,cpu,1,237.25598398000147,,25841.287107501525,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,131,6000,151670,1,0.032,10,68556,136,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_lru,medium,unique,lru,gpu,1,250.1044197939991,,24513.761112457974,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,131,6000,151670,1,0.032,10,68219,43,0,0,0
facebook/opt-125m,opt-125m_medium_uniq_lru,medium,unique,lru,cpu,1,476.41380472600576,,12869.064538392311,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,200,131,6000,151670,1,0.032,10,68232,10,0,0,0
facebook/opt-125m,opt-125m_large_uniq_arc,large,unique,arc,gpu,1,238.19574392199866,,25739.334796879084,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,131,6000,151670,1,0.032,10,68606,277,0,0,0
facebook/opt-125m,opt-125m_large_uniq_arc,large,unique,arc,cpu,1,243.49449668399757,,25179.21383642889,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,131,6000,151670,1,0.032,10,70342,318,0,0,0
facebook/opt-125m,opt-125m_large_uniq_lru,large,unique,lru,gpu,1,246.21781357999862,,24900.7166088248,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,131,6000,151670,1,0.032,10,68654,208,0,0,0
facebook/opt-125m,opt-125m_large_uniq_lru,large,unique,lru,cpu,1,239.90795095299836,,25555.634882651957,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,300,131,6000,151670,1,0.032,10,68836,124,0,0,0
facebook/opt-125m,opt-125m_xlarge_uniq_arc,xlarge,unique,arc,gpu,1,244.11867250200157,,25114.834261396907,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,131,6000,151670,1,0.032,10,68119,97,0,0,0
facebook/opt-125m,opt-125m_xlarge_uniq_arc,xlarge,unique,arc,cpu,1,239.52046607399825,,25596.97757980259,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,131,6000,151670,1,0.032,10,69108,303,0,0,0
facebook/opt-125m,opt-125m_xlarge_uniq_lru,xlarge,unique,lru,gpu,1,233.65568847100076,,26239.463888596594,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,131,6000,151670,1,0.032,10,67892,104,0,0,0
facebook/opt-125m,opt-125m_xlarge_uniq_lru,xlarge,unique,lru,cpu,1,238.14275888799602,,25745.061611902922,4.704370688,99.951443968,90.735837184,99.951443968,0.032,89.45860608,500,131,6000,151670,1,0.032,10,68609,145,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_arc,xsmall,shared_prefix,arc,gpu,1,517.4745017890018,,11749.371184435859,31.619219456,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,10,28767,1316,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_arc,xsmall,shared_prefix,arc,cpu,1,476.33023562499875,,12764.253757736704,31.619219456,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,10,26868,1254,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_lru,xsmall,shared_prefix,lru,gpu,1,472.11179773000185,,12878.305581927267,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,10,27158,1228,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xsmall_shared_lru,xsmall,shared_prefix,lru,cpu,1,425.39852883300046,,14292.48008139407,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,50,80,6000,42657,1,0.3,10,27236,1025,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_arc,small,shared_prefix,arc,gpu,1,461.7188928100004,,13168.185436375354,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,27753,1067,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_arc,small,shared_prefix,arc,cpu,1,470.2464266120005,,12929.391178588578,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,27279,1080,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_lru,small,shared_prefix,lru,gpu,1,499.09225261100073,,12182.116569016018,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,27897,1037,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_small_shared_lru,small,shared_prefix,lru,cpu,1,548.262575323999,,11089.576917423166,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,100,80,6000,42657,1,0.3,10,28892,1404,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_arc,medium,shared_prefix,arc,gpu,1,504.56983630500326,,12049.868150114211,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,28527,932,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_arc,medium,shared_prefix,arc,cpu,1,515.4153910349996,,11796.310521094108,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,28239,925,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_lru,medium,shared_prefix,lru,gpu,1,1473.5534861289998,,4126.08029313687,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,27934,1032,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_medium_shared_lru,medium,shared_prefix,lru,cpu,1,498.185352393004,,12204.292982110128,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,200,80,6000,42657,1,0.3,10,28156,1008,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,gpu,1,508.06811463500344,,11966.899368144519,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,27611,1059,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_arc,large,shared_prefix,arc,cpu,1,484.7339137750023,,12542.963937988747,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,27709,1136,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_lru,large,shared_prefix,lru,gpu,1,533.0620664659946,,11405.801279967573,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,28770,1451,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_large_shared_lru,large,shared_prefix,lru,cpu,1,529.0416125009942,,11492.479714889298,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,300,80,6000,42657,1,0.3,10,28048,1113,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,gpu,1,478.2608782390016,,12712.727042168057,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,27175,1284,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_arc,xlarge,shared_prefix,arc,cpu,1,490.46825206500216,,12396.317140613237,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,27676,993,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,gpu,1,521.2797458969944,,11663.602984493122,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,28106,773,0,0,0
mistralai/Mistral-7B-Instruct-v0.1,mistral-7b-instruct-v0.1_xlarge_shared_lru,xlarge,shared_prefix,lru,cpu,1,486.9139438339989,,12486.806091699898,31.68632832,99.951443968,90.733740032,99.951443968,0.3,89.458212864,500,80,6000,42657,1,0.3,10,27707,1238,0,0,0
